type,review_score,total_reviews,review_bucket
Free,0.7048192771084337,498,200-1k
Free,0.9373356026613028,6463,1k-10k
Free,0.9285714285714286,56,50-200
Free,0.8958483105679368,11128,10k+
Free,0.967032967032967,182,50-200
Free,0.5330578512396694,242,200-1k
Free,0.9273186473972218,14254,10k+
Free,0.7716535433070866,889,200-1k
Free,0.7132867132867133,143,50-200
Free,0.8787878787878788,165,50-200
Free,0.7955316742081447,3536,1k-10k
Free,0.4897435897435897,1170,1k-10k
Free,0.9732666811562704,9202,1k-10k
Free,0.8929817758821249,7737,1k-10k
Free,0.9245283018867925,106,50-200
Free,0.9388888888888889,180,50-200
Free,0.8381430363864492,797,200-1k
Free,0.7291666666666666,144,50-200
Free,0.832,125,50-200
Free,0.7889563457646719,6918,1k-10k
Free,0.8481953290870489,1884,1k-10k
Free,0.6090116279069767,2064,1k-10k
Free,0.5763888888888888,144,50-200
Free,0.8761904761904762,210,200-1k
Free,0.7553191489361702,94,50-200
Free,0.8509803921568627,255,200-1k
Free,0.7925925925925926,270,200-1k
Free,0.7735849056603774,53,50-200
Free,0.9629629629629629,81,50-200
Free,0.915303738317757,1712,1k-10k
Free,0.58,50,50-200
Free,0.6111111111111112,108,50-200
Free,0.8155307724080958,12105,10k+
Free,0.9530269285280422,4939,1k-10k
Free,0.6237113402061856,194,50-200
Free,0.8131868131868132,91,50-200
Free,0.7868852459016393,61,50-200
Free,0.90625,128,50-200
Free,0.6466165413533834,133,50-200
Free,0.9433962264150944,265,200-1k
Free,0.9238738738738739,2220,1k-10k
Free,0.7790697674418605,172,50-200
Free,0.8798955613577023,383,200-1k
Free,0.8645598194130926,443,200-1k
Free,0.6610169491525424,59,50-200
Free,0.8351648351648352,91,50-200
Free,0.7567567567567568,74,50-200
Free,0.7226993865030675,815,200-1k
Free,0.8013904547162721,5322,1k-10k
Free,0.62,50,50-200
Free,0.7714109673444239,3246,1k-10k
Free,0.8902439024390244,164,50-200
Free,0.8692579505300353,283,200-1k
Free,0.36363636363636365,77,50-200
Free,0.3626373626373626,273,200-1k
Free,0.8915609487038059,27195,10k+
Free,0.900709219858156,141,50-200
Free,0.7894736842105263,95,50-200
Free,0.84,50,50-200
Free,0.8928571428571429,84,50-200
Free,0.7636363636363637,55,50-200
Free,0.5785484611851172,4354,1k-10k
Free,0.9045454545454545,1980,1k-10k
Free,0.7655172413793103,145,50-200
Free,0.8937893789378938,1111,1k-10k
Free,0.7166666666666667,60,50-200
Free,0.5868263473053892,334,200-1k
Free,0.642312047658904,20311,10k+
Free,0.5725125021555441,17397,10k+
Free,0.9821763602251408,1066,1k-10k
Free,0.9311926605504587,218,200-1k
Free,0.8834371754932503,3852,1k-10k
Free,0.43714285714285717,350,200-1k
Free,0.9184549356223176,233,200-1k
Free,0.7307692307692307,182,50-200
Free,0.9434343434343434,3960,1k-10k
Free,0.82988248461108,1787,1k-10k
Free,0.9125,160,50-200
Free,0.9419642857142857,224,200-1k
Free,0.62,50,50-200
Free,0.8306709265175719,313,200-1k
Free,0.5290322580645161,155,50-200
Free,0.7619047619047619,63,50-200
Free,0.7046632124352331,193,50-200
Free,0.9242424242424242,66,50-200
Free,0.5944058978617202,2557944,10k+
Free,0.7541946308724832,1192,1k-10k
Free,0.9092808116980006,3351,1k-10k
Free,0.7644356955380578,1524,1k-10k
Free,0.3582089552238806,67,50-200
Free,0.7917448405253283,2132,1k-10k
Free,0.8212290502793296,1611,1k-10k
Free,0.9107981220657277,426,200-1k
Free,0.6487889273356401,578,200-1k
Free,0.829590109706166,376369,10k+
Free,0.6164921465968587,764,200-1k
Free,0.7469879518072289,166,50-200
Free,0.9191919191919192,594,200-1k
Free,0.8588374851720048,8430,1k-10k
Free,0.6747474747474748,495,200-1k
Free,0.5163934426229508,122,50-200
